id,DIAC1_2,DIAC1_3,DIAC4_1,DIAC5_1,ANT2_1,CLIM1_3,CLIM2_5,TFV_G11_GROUP,LITH1_1,LITH2_2,LITH4_2,DEM1_1,DEM2_4,DEM4_1
509,0.265,2.191,3.419927183,146,0,9.901073105,-10.63829787,Feuillus,1.101878199,0.1028536083,0.6888520813,1684,29,138
368,0.07,2.835,2.027081908,154.8,34.3949415,6.653443924,-8.849557522,Feuillus,0.9634233705,0.2310586658,0.7689411838,1496,34,261
494,0.397,7.004,8.266929487,27.2,526.5583866,12.94786446,-11.84210526,Feuillus,0.6931471808,8.35E-12,1.000012891,1811,27,97
307,0.338,7.79,5.583568568,4.6,138.8951987,13.42915215,-12.5,Feuillus,0.6931471808,8.35E-12,0.9999959063,1631,20,110
605,0.21,0.898,4.17236856,110,939.1991411,15.52668539,-13.51351351,Feuillus,0.6931471808,8.35E-12,0.9999900753,1926,29,54
344,0.154,5.086,7.325896391,1,0,1.198449066,-13.0952381,Feuillus,0.6931471808,8.35E-12,0.9999995238,1764,19,152
598,0.169,2.155,4.415179925,6.8,79.57228241,1.532752501,-10.71428571,Feuillus,0.8793611672,0.1227797808,0.8772055756,1752,28,171
490,0.367,3.228,4.274150527,52,242.0953984,9.49955534,-12.98701299,Feuillus,0.6931471808,8.35E-12,1.00000218,1661,27,144
596,0.248,2.815,2.679737767,-0.4,717.2689589,-4.901788846,-11.00917431,Feuillus,0.8702617614,0.8862782442,0.1137230839,1361,22,171
475,0.182,1.034,1.769822039,116.4,241.4666897,21.46559428,-10.89108911,Feuillus,0.6931471808,8.35E-12,1.000003517,1621,45,235
593,0.412,13.826,4.009767835,44,104.4533659,27.86335214,-13.51351351,Feuillus,0.6925361249,8.35E-12,8.35E-12,1611,33,104
473,0.171,0.722,3.27385274,114,0,25.03938314,-9.345794393,Feuillus,0.09505615854,8.35E-12,8.35E-12,1614,33,250
470,0.166,0.268,3.448299332,16,0,21.72590597,-9.836065574,Feuillus,0.6931471807,8.35E-12,8.35E-12,1517,38,279
432,0.05,0.362,1.926322354,38.2,0,0.557635625,-10.11235955,Feuillus,0.4123371989,8.35E-12,0.1683609978,1597,33,235
445,0.071,0.043,1.397457882,-16.8,0,-1.003786211,-9.401709402,Feuillus,0.5774206522,8.35E-12,0.1247774183,1618,43,298
299,0.153,1.083,3.98502928,12.2,0,-8.895609553,-11,Feuillus,0.8837137282,8.35E-12,0.127253974,1501,28,240
300,0.216,2.439,5.812356413,-2.2,55.04782211,-11.04266995,-10.34482759,Feuillus,0.9622813383,0.2291673768,8.35E-12,1349,24,178
480,0.342,3.278,6.543423177,29,7.773693254,14.07316071,-9.836065574,Feuillus,0.5166218953,8.35E-12,8.35E-12,1367,23,250
481,0.103,3.057,4.323933012,111,0,6.67998003,-9.836065574,Feuillus,0.02124690155,8.35E-12,8.35E-12,1286,22,224
585,0.204,1.667,3.223233534,32.8,0,33.02591534,-13.33333333,Feuillus,0.6931471808,8.35E-12,0.9999999415,1704,35,205
443,0.179,0.404,2.857196676,100.4,419.296559,5.500844119,-9.278350515,Feuillus,0.6929723611,8.35E-12,8.35E-12,1521,34,136
569,0.099,-0.286,5.718390205,-2.8,0,18.4167154,-9.900990099,Feuillus,0.8535689042,8.35E-12,0.09807986953,1491,29,146
412,0.15,1.547,6.184396841,102,760.0435449,-2.35996588,-11.11111111,Feuillus,0.6831462231,8.35E-12,8.35E-12,1756,41,94
647,0.227,2.035,8.143693587,8,561.7406776,12.57600884,-15.18987342,Feuillus,0.7125457052,0.006417515,0.9935897008,1542,27,206
559,0.05,-0.441,3.754046798,-8.6,292.9549076,-1.445534331,-8.391608392,Feuillus,0.6931471808,8.35E-12,8.35E-12,1364,37,173
411,0.011,-0.846,10.01133276,-43.4,118.7731895,-1.211072664,-9.009009009,Feuillus,0.6931471807,8.35E-12,8.35E-12,1504,43,154
