transect,nextcloud_dir,filename,dynamic,position
372,Ascou_Pailhères,SMA06988_20220523_082702.wav,rouge,estive
372,Ascou_Pailhères,SMA06988_20220523_162702.wav,rouge,estive
372,Ascou_Pailhères,SMA07137_20220523_000702.wav,rouge,lisiere
372,Ascou_Pailhères,SMA07137_20220523_080702.wav,rouge,lisiere
372,Ascou_Pailhères,SMA07137_20220523_160702.wav,rouge,lisiere
529,Ascou_Pailhères,SMA05744_20220523_000502.wav,bleu,estive
529,Ascou_Pailhères,SMA05744_20220523_080502.wav,bleu,estive
529,Ascou_Pailhères,SMA05744_20220523_160502.wav,bleu,estive
529,Ascou_Pailhères,SMA05810_20220523_001702.wav,bleu,lisiere
529,Ascou_Pailhères,SMA05810_20220523_081702.wav,bleu,lisiere
529,Ascou_Pailhères,SMA05810_20220523_161702.wav,bleu,lisiere
375,Estagnet,SMA05765_20220522_002802.wav,rouge,estive
375,Estagnet,SMA05765_20220522_082802.wav,rouge,estive
375,Estagnet,SMA05765_20220522_162802.wav,rouge,estive
375,Estagnet,SMA07108_20220522_001002.wav,rouge,lisiere
375,Estagnet,SMA07108_20220522_081002.wav,rouge,lisiere
375,Estagnet,SMA07108_20220522_161002.wav,rouge,lisiere
374,Estagnet,SMA07142_20220522_002402.wav,bleu,estive
374,Estagnet,SMA07142_20220522_082402.wav,bleu,estive
374,Estagnet,SMA07142_20220522_162402.wav,bleu,estive
374,Estagnet,SMA07175_20220522_000302.wav,bleu,lisiere
374,Estagnet,SMA07175_20220522_080302.wav,bleu,lisiere
374,Estagnet,SMA07175_20220522_160302.wav,bleu,lisiere
256,Eychelle,SMA07113_20220622_000702.wav,rouge,estive
256,Eychelle,SMA07113_20220622_080702.wav,rouge,estive
256,Eychelle,SMA07113_20220622_160702.wav,rouge,estive
256,Eychelle,SMA07140_20220622_002602.wav,rouge,lisiere
256,Eychelle,SMA07140_20220622_082602.wav,rouge,lisiere
256,Eychelle,SMA07140_20220622_162602.wav,rouge,lisiere
415,Eychelle,SMA04564_20220622_002802.wav,bleu,estive
415,Eychelle,SMA04564_20220622_082802.wav,bleu,estive
415,Eychelle,SMA04564_20220622_162802.wav,bleu,estive
415,Eychelle,SMA06936_20220622_002302.wav,bleu,lisiere
415,Eychelle,SMA06936_20220622_082302.wav,bleu,lisiere
415,Eychelle,SMA06936_20220622_162302.wav,bleu,lisiere
244,Eylie,SMA07112_20220617_000402.wav,rouge,estive
244,Eylie,SMA07112_20220617_080402.wav,rouge,estive
244,Eylie,SMA07112_20220617_160402.wav,rouge,estive
245,Eylie,SMA06989_20220617_002202.wav,bleu,estive
245,Eylie,SMA06989_20220617_082202.wav,bleu,estive
245,Eylie,SMA06989_20220617_162202.wav,bleu,estive
245,Eylie,SMA07208_20220617_000902.wav,bleu,lisiere
245,Eylie,SMA07208_20220617_080902.wav,bleu,lisiere
245,Eylie,SMA07208_20220617_160902.wav,bleu,lisiere
473,Goulier,SMA06936_20220615_000002.wav,rouge,estive
473,Goulier,SMA06936_20220615_080002.wav,rouge,estive
473,Goulier,SMA06936_20220615_160002.wav,rouge,estive
473,Goulier,SMA07140_20220615_001302.wav,rouge,lisiere
473,Goulier,SMA07140_20220615_081302.wav,rouge,lisiere
473,Goulier,SMA07140_20220615_161302.wav,rouge,lisiere
474,Goulier,SMA06965_20220615_001202.wav,bleu,estive
474,Goulier,SMA06965_20220615_081202.wav,bleu,estive
474,Goulier,SMA06965_20220615_161202.wav,bleu,estive
474,Goulier,SMA04559_20220615_000702.wav,bleu,lisiere
474,Goulier,SMA04559_20220615_080702.wav,bleu,lisiere
474,Goulier,SMA04559_20220615_160702.wav,bleu,lisiere
234,Isard,SMA07134_20220601_002802.wav,rouge,estive
234,Isard,SMA07134_20220601_082802.wav,rouge,estive
234,Isard,SMA07134_20220601_162802.wav,rouge,estive
234,Isard,SMA07113_20220601_001002.wav,rouge,lisiere
234,Isard,SMA07113_20220601_081002.wav,rouge,lisiere
234,Isard,SMA07113_20220601_161002.wav,rouge,lisiere
702,Isard,SMA04610_20220601_000502.wav,bleu,estive
702,Isard,SMA04610_20220601_080502.wav,bleu,estive
702,Isard,SMA04610_20220601_160502.wav,bleu,estive
702,Isard,SMA04564_20220601_001702.wav,bleu,lisiere
702,Isard,SMA04564_20220601_021702.wav,bleu,lisiere
702,Isard,SMA04564_20220531_204702.wav,bleu,lisiere
641,Luzenac,SMA07140_20220707_000302.wav,rouge,estive
641,Luzenac,SMA07140_20220707_080302.wav,rouge,estive
641,Luzenac,SMA07140_20220707_160302.wav,rouge,estive
641,Luzenac,SMA07113_20220707_000602.wav,rouge,lisiere
641,Luzenac,SMA07113_20220707_080602.wav,rouge,lisiere
641,Luzenac,SMA07113_20220707_193602.wav,rouge,lisiere
638,Luzenac,SMA06988_20220707_000902.wav,bleu,estive
638,Luzenac,SMA06988_20220707_080902.wav,bleu,estive
638,Luzenac,SMA06988_20220707_160902.wav,bleu,estive
638,Luzenac,SMA07108_20220707_002002.wav,bleu,lisiere
638,Luzenac,SMA07108_20220707_192002.wav,bleu,lisiere
638,Luzenac,SMA07108_20220708_082002.wav,bleu,lisiere
509,Merens,SMA06988_20220612_002902.wav,rouge,estive
509,Merens,SMA06988_20220612_082902.wav,rouge,estive
509,Merens,SMA06988_20220612_162902.wav,rouge,estive
349,Merens,SMA05744_20220612_002402.wav,bleu,estive
349,Merens,SMA05744_20220612_082402.wav,bleu,estive
349,Merens,SMA05744_20220612_162402.wav,bleu,estive
349,Merens,SMA05810_20220612_002702.wav,bleu,lisiere
349,Merens,SMA05810_20220612_082702.wav,bleu,lisiere
349,Merens,SMA05810_20220612_172702.wav,bleu,lisiere
413,Pause,SMA07134_20220623_020302.wav,rouge,estive
413,Pause,SMA07134_20220623_100302.wav,rouge,estive
413,Pause,SMA07134_20220623_210302.wav,rouge,estive
413,Pause,SMA06965_20220623_052902.wav,rouge,lisiere
413,Pause,SMA06965_20220623_162902.wav,rouge,lisiere
413,Pause,SMA06965_20220623_192902.wav,rouge,lisiere
424,Pause,SMA04610_20220601_000502.wav,bleu,estive
424,Pause,SMA04610_20220601_100502.wav,bleu,estive
424,Pause,SMA04610_20220601_203502.wav,bleu,estive
424,Pause,SMA04559_20220623_000902.wav,bleu,lisiere
424,Pause,SMA04559_20220623_093902.wav,bleu,lisiere
424,Pause,SMA04559_20220623_200902.wav,bleu,lisiere
564,Salau_saube,SMA06989_20220603_004802.wav,bleu,estive
564,Salau_saube,SMA06989_20220603_091802.wav,bleu,estive
564,Salau_saube,SMA06989_20220603_151834.wav,bleu,estive
564,Salau_saube,SMA07208_20220603_011602.wav,bleu,lisiere
564,Salau_saube,SMA07208_20220603_101602.wav,bleu,lisiere
564,Salau_saube,SMA07208_20220603_211602.wav,bleu,lisiere
628,Soularac,SMA05760_20220629_000202.wav,rouge,estive
628,Soularac,SMA05760_20220629_090202.wav,rouge,estive
628,Soularac,SMA05760_20220629_190202.wav,rouge,estive
628,Soularac,SMA07107_20220629_001802.wav,rouge,lisiere
628,Soularac,SMA07107_20220629_094802.wav,rouge,lisiere
628,Soularac,SMA07107_20220628_211802.wav,rouge,lisiere
626,Soularac,SMA06992_20220629_002302.wav,bleu,estive
626,Soularac,SMA06992_20220629_125302.wav,bleu,estive
626,Soularac,SMA06992_20220629_202302.wav,bleu,estive
626,Soularac,SMA05802_20220629_030602.wav,bleu,lisiere
626,Soularac,SMA05802_20220629_130602.wav,bleu,lisiere
626,Soularac,SMA05802_20220628_213602.wav,bleu,lisiere
